"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"
"1999002/4/1999/1024/2"	"27"	"80012"	"blåsteinbit/550561/126757/NA"	"11"	"1999002/4/1999/1024/2-27-80012-blåsteinbit/550561/126757/NA-11"	43.64	6	43.64	6
"1999002/4/1999/1024/2"	"27"	"80012"	"dypvannsreke/96967/107649/NA"	"14"	"1999002/4/1999/1024/2-27-80012-dypvannsreke/96967/107649/NA-14"	8.38	NA	NA	NA
"1999002/4/1999/1024/2"	"27"	"80012"	"flekksteinbit/171342/126759/NA"	"8"	"1999002/4/1999/1024/2-27-80012-flekksteinbit/171342/126759/NA-8"	9.16	2	9.16	2
"1999002/4/1999/1024/2"	"27"	"80012"	"gapeflyndre/172877/127137/NA"	"10"	"1999002/4/1999/1024/2-27-80012-gapeflyndre/172877/127137/NA-10"	43.26	156	6.94	25
"1999002/4/1999/1024/2"	"27"	"80012"	"hyse/164744/126437/NA"	"3"	"1999002/4/1999/1024/2-27-80012-hyse/164744/126437/NA-3"	29.38	88	29.38	88
"1999002/4/1999/1024/2"	"27"	"80012"	"hyse/164744/126437/NA"	"4"	"1999002/4/1999/1024/2-27-80012-hyse/164744/126437/NA-4"	4.36	173	1.635	65
"1999002/4/1999/1024/2"	"27"	"80012"	"kloskate/564149/105865/NA"	"12"	"1999002/4/1999/1024/2-27-80012-kloskate/564149/105865/NA-12"	3.5	12	NA	NA
"1999002/4/1999/1024/2"	"27"	"80012"	"nordlig ringbuk/167522/127212/NA"	"6"	"1999002/4/1999/1024/2-27-80012-nordlig ringbuk/167522/127212/NA-6"	0.275	7	NA	NA
"1999002/4/1999/1024/2"	"27"	"80012"	"rognkjeks/167612/127214/NA"	"7"	"1999002/4/1999/1024/2-27-80012-rognkjeks/167612/127214/NA-7"	22.98	8	22.98	8
"1999002/4/1999/1024/2"	"27"	"80012"	"smørflyndre/172873/127136/NA"	"9"	"1999002/4/1999/1024/2-27-80012-smørflyndre/172873/127136/NA-9"	0.98	1	0.98	1
"1999002/4/1999/1024/2"	"27"	"80012"	"torsk/164712/126436/NA"	"2"	"1999002/4/1999/1024/2-27-80012-torsk/164712/126436/NA-2"	70.44	94	70.44	94
"1999002/4/1999/1024/2"	"27"	"80012"	"vanlig ålebrosme/631144/274100/NA"	"13"	"1999002/4/1999/1024/2-27-80012-vanlig ålebrosme/631144/274100/NA-13"	0.115	3	NA	NA
"1999002/4/1999/1024/2"	"27"	"80012"	"vanlig uer/166781/151324/NA"	"5"	"1999002/4/1999/1024/2-27-80012-vanlig uer/166781/151324/NA-5"	1.76	1	1.76	1
