Cruise,Header,CruiseSurvey,CruiseCountry,CruiseOrganisation,CruisePlatform,CruiseStartDate,CruiseEndDate,CruiseLocalID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise,Record,IESNS,NO,612,58KC,2021-04-30,2021-05-31,2021456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Header,HaulGear,HaulNumber,HaulStationName,HaulStartTime,HaulDuration,HaulValidity,HaulStartLatitude,HaulStartLongitude,HaulStopLatitude,HaulStopLongitude,HaulStatisticalRectangle,HaulMinTrawlDepth,HaulMaxTrawlDepth,HaulBottomDepth,HaulDistance,HaulNetopening,HaulCodendMesh,HaulSweepLength,HaulGearExceptions,HaulDoorType,HaulWarpLength,HaulWarpDiameter,HaulWarpDensity,HaulDoorSurface,HaulDoorWeight,HaulDoorSpread,HaulWingSpread,HaulBuoyancy,HaulKiteArea,HaulGroundRopeWeight,HaulRigging,HaulTickler,HaulTowDirection,HaulSpeedGround,HaulSpeedWater,HaulWindDirection,HaulWindSpeed,HaulSwellDirection,HaulSwellHeight,HaulLogDistance,HaulStratum,CruiseLocalID,HaulHydrographicStationID
Catch,Record,PEL,22403,1128,1,R,1,,kg,4,,,,0,,,,,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22404,126439,1,R,1,10284,kg,455.5,,100,102.84,4.429,,,E,100,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22404,126352,1,R,1,8,kg,0.13,,1,8,0.016,,,J,1,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22404,151324,1,R,1,1,kg,2.219,,1,1,2.219,,,E,1,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22405,127312,1,R,1,381316,kg,317.7631579,,48,7944.08333333333,0.04,,,J,48,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22405,1128,1,R,1,,kg,132.2368421,,,,0,,,,,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22406,126417,1,R,1,1695,kg,379.4,,90,18.8333333333333,20.145,,,E,90,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22406,126417,2,R,1,10,kg,2.119,,10,1,2.119,,,E,10,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22406,127023,1,R,1,1181,kg,322.4,,90,13.1222222222222,24.571,,,F,90,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22406,126439,1,R,1,1909,kg,84.3,,50,38.18,2.208,,,E,50,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22406,126822,1,R,1,1,kg,0.425,,1,1,0.425,,,F,1,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22406,127214,1,R,1,1,kg,0.674,,1,1,0.674,,,E,1,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22406,1128,1,R,1,,kg,12.4,,,,0,,,,,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22406,127023,2,R,1,10,kg,2.697,,10,1,2.697,,,F,10,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22407,126439,1,R,1,22888,kg,1100,,100,228.88,4.806,,,E,100,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,CAM,22408,126757,1,R,1,1,kg,0.1,,,,0,,,,,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22409,127186,1,R,1,6,kg,3.017,,6,1,3.017,,,I,6,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22409,127023,1,R,1,845,kg,307.65,,90,9.38888888888889,32.77,,,F,90,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22409,127023,2,R,1,10,kg,3.83,,10,1,3.83,,,F,10,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22409,126417,1,R,1,2819,kg,612.4,,90,31.3222222222222,19.554,,,E,90,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22409,126417,2,R,1,10,kg,2.24,,10,1,2.24,,,E,10,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22410,126439,1,R,1,6347,kg,340,,99,64.1111111111111,5.303,,,E,99,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22410,126417,1,R,1,68,kg,14.59,,68,1,14.59,,,E,68,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22410,126417,2,R,1,10,kg,2.199,,10,1,2.199,,,E,10,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22410,126352,1,R,1,1,kg,0.019,,1,1,0.019,,,J,1,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,CAM,22411,1128,1,R,1,,kg,1.2,,,,0,,,E,,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22412,126444,1,R,1,3,kg,0.026,,3,1,0.026,,,E,3,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22412,127023,1,R,1,1,kg,0.046,,1,1,0.046,,,F,1,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22412,127214,1,R,1,2,kg,7.999,,2,1,7.999,,,E,2,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22412,126439,1,R,1,6,kg,0.255,,6,1,0.255,,,E,6,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22412,127186,1,R,1,2,kg,1.451,,2,1,1.451,,,I,2,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
